Số lượng hoạt động,Thời gian tham gia,Mức độ hài lòng,Vai trò,Kết quả học tập,Sức khỏe thể chất,Kỹ năng giao tiếp,Kỹ năng làm việc nhóm,Kỹ năng quản lý thời gian,Kỹ năng thuyết trình,"Mở rộng cơ hội (như cơ hội công việc, học tập)",Sức khỏe tinh thần,Giảm thời gian cá nhân,"Có cảm giác áp lực, stress"
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Rất hài lòng,Nhóm trưởng,0,1,1,3,0,4,1,4,0,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Nhóm trưởng,0,4,0,4,0,3,4,1,0,1
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Nhóm trưởng,0,1,2,3,0,2,3,1,1,1
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Thành viên,0,3,1,3,1,2,2,3,1,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Nhóm trưởng,4,3,3,3,3,0,4,0,1,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Nhóm trưởng,0,3,3,4,4,3,3,4,1,1
Tham gia ít (1-2 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Thành viên,4,0,1,3,0,4,0,1,1,0
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Rất hài lòng,Nhóm trưởng,4,3,3,1,1,4,0,4,1,1
Chưa từng tham gia,Rất ít( dưới 4 tiếng),Chưa tham gia,Ban tổ chức,0,4,4,4,1,1,1,1,1,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Không hài lòng,Ban tổ chức,2,1,4,3,1,1,3,4,1,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Rất hài lòng,Ban tổ chức,3,2,4,4,3,4,0,2,1,1
Tham gia ít (1-2 hoạt động),Ít(4 tiếng ->12 tiếng),Rất hài lòng,Ban tổ chức,1,4,0,2,4,4,2,1,1,0
Tham gia ít (1-2 hoạt động),Rất nhiều(trên 40 tiếng),Trung bình,Ban tổ chức,4,4,1,1,3,3,3,4,0,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Thành viên,3,3,0,3,2,2,2,0,1,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Không hài lòng,Ban tổ chức,2,0,3,2,1,1,2,2,0,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Không hài lòng,Nhóm trưởng,1,1,0,2,2,2,0,2,0,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Thành viên,1,0,3,4,0,3,3,0,0,0
Tham gia ít (1-2 hoạt động),Nhiều(12->40 tiếng),Trung bình,Nhóm trưởng,4,1,3,2,0,4,4,4,0,0
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Thành viên,0,1,2,1,3,2,0,3,1,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Chưa tham gia,Ban tổ chức,2,0,4,1,4,4,0,0,0,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Rất hài lòng,Ban tổ chức,4,4,3,0,2,4,3,4,1,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Rất hài lòng,Ban tổ chức,2,1,2,1,4,0,3,0,1,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Ban tổ chức,0,0,4,2,3,2,2,0,0,0
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Nhóm trưởng,0,1,3,1,0,2,3,1,1,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Ban tổ chức,4,2,3,4,4,4,2,4,0,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Rất hài lòng,Ban tổ chức,0,4,0,0,4,3,0,3,0,1
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Ban tổ chức,3,3,0,2,0,0,1,1,1,1
Chưa từng tham gia,Ít(4 tiếng ->12 tiếng),Không hài lòng,Nhóm trưởng,1,1,4,0,2,4,4,0,1,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,4,2,3,2,0,1,0,0,0,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,2,3,1,4,4,1,3,0,1,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Rất hài lòng,Thành viên,3,3,0,0,2,0,4,4,1,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Thành viên,4,1,4,3,2,3,1,4,1,1
Tham gia nhiều (5-10 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Ban tổ chức,0,0,3,2,0,4,1,1,0,0
Tham gia trung bình (3-5 hoạt động),Nhiều(12->40 tiếng),Trung bình,Thành viên,0,1,3,3,4,2,2,3,0,0
Tham gia trung bình (3-5 hoạt động),Nhiều(12->40 tiếng),Rất hài lòng,Thành viên,0,2,1,0,3,0,4,1,1,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Ban tổ chức,0,3,4,3,4,3,2,2,1,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Chưa tham gia,Thành viên,2,1,3,3,1,2,0,0,1,1
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Chưa tham gia,Thành viên,3,0,0,0,3,1,4,0,1,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Ban tổ chức,1,1,1,4,2,1,0,0,1,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,2,4,4,3,3,2,2,1,0,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Thành viên,2,0,1,3,2,0,4,1,1,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Không hài lòng,Thành viên,1,2,0,4,2,1,2,0,0,0
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Ban tổ chức,1,3,4,3,3,4,4,1,1,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Nhóm trưởng,0,1,1,3,2,2,2,4,0,1
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,2,0,2,3,2,2,1,4,1,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,4,4,0,1,1,1,2,1,0,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Thành viên,1,0,0,4,4,0,1,0,1,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Nhóm trưởng,1,4,0,3,4,4,2,1,0,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Nhóm trưởng,3,2,2,4,1,0,4,1,0,0
Tham gia nhiều (5-10 hoạt động),Ít(4 tiếng ->12 tiếng),Không hài lòng,Thành viên,4,3,2,2,3,3,4,1,0,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Chưa tham gia,Ban tổ chức,4,2,3,2,0,3,4,2,0,1
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,1,1,1,3,0,1,3,4,0,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Thành viên,0,0,3,4,0,1,0,3,0,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Rất hài lòng,Thành viên,3,4,1,4,1,1,4,3,1,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Thành viên,4,4,2,4,1,3,1,2,0,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Thành viên,1,0,2,1,2,0,4,1,1,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Ban tổ chức,4,0,3,2,0,0,3,2,1,0
Tham gia nhiều (5-10 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,3,1,4,4,3,1,1,2,1,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Thành viên,3,2,3,4,3,4,3,0,1,1
Tham gia nhiều (5-10 hoạt động),Ít(4 tiếng ->12 tiếng),Không hài lòng,Nhóm trưởng,2,4,1,1,0,0,1,4,1,1
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Nhóm trưởng,1,1,3,1,0,3,2,3,0,0
Chưa từng tham gia,Rất ít( dưới 4 tiếng),Không hài lòng,Nhóm trưởng,3,2,0,4,0,2,0,1,0,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Ban tổ chức,2,1,1,0,1,2,0,3,0,1
Chưa từng tham gia,Rất nhiều(trên 40 tiếng),Trung bình,Nhóm trưởng,2,4,1,4,1,2,3,3,1,0
Tham gia nhiều (5-10 hoạt động),Rất ít( dưới 4 tiếng),Không hài lòng,Nhóm trưởng,4,0,4,4,1,4,0,4,0,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Nhóm trưởng,4,0,2,1,4,1,3,3,0,0
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Ban tổ chức,2,2,1,1,3,3,3,3,0,0
Tham gia trung bình (3-5 hoạt động),Nhiều(12->40 tiếng),Trung bình,Thành viên,4,3,2,4,3,4,3,2,0,0
Tham gia trung bình (3-5 hoạt động),Rất nhiều(trên 40 tiếng),Không hài lòng,Thành viên,3,2,3,4,2,3,0,4,0,0
Tham gia nhiều (5-10 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Thành viên,0,3,0,4,1,3,3,0,1,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Thành viên,3,1,4,1,4,1,0,1,0,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,2,1,2,4,4,2,3,3,1,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Ban tổ chức,2,4,1,4,3,1,4,1,1,1
Chưa từng tham gia,Rất ít( dưới 4 tiếng),Rất hài lòng,Thành viên,3,3,2,3,1,4,3,0,1,1
Chưa từng tham gia,Rất ít( dưới 4 tiếng),Trung bình,Thành viên,4,4,1,0,2,4,1,1,1,1
Tham gia ít (1-2 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Thành viên,4,0,2,2,1,4,3,0,1,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,2,3,1,0,0,1,2,2,0,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Ban tổ chức,1,2,3,3,1,3,3,3,0,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Không hài lòng,Nhóm trưởng,4,0,1,2,0,3,1,0,0,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Chưa tham gia,Nhóm trưởng,3,0,1,4,0,0,1,1,1,1
Chưa từng tham gia,Rất ít( dưới 4 tiếng),Rất hài lòng,Thành viên,4,2,0,3,2,4,0,3,0,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Thành viên,3,0,1,4,3,3,4,2,0,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,2,3,0,1,1,0,3,3,1,1
Tham gia nhiều (5-10 hoạt động),Rất ít( dưới 4 tiếng),Không hài lòng,Thành viên,4,4,4,3,0,3,0,0,1,0
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Không hài lòng,Thành viên,3,0,0,1,1,4,4,2,1,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Chưa tham gia,Nhóm trưởng,2,3,3,3,3,2,3,1,1,1
Tham gia ít (1-2 hoạt động),Nhiều(12->40 tiếng),Trung bình,Ban tổ chức,1,1,0,3,3,4,2,2,0,0
Chưa từng tham gia,Rất ít( dưới 4 tiếng),Trung bình,Ban tổ chức,3,3,4,1,4,1,3,2,1,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Nhóm trưởng,1,4,3,2,3,3,1,4,1,0
Tham gia ít (1-2 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Ban tổ chức,1,3,2,0,2,3,1,2,0,0
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Ban tổ chức,0,2,2,4,0,1,2,2,0,0
Tham gia trung bình (3-5 hoạt động),Nhiều(12->40 tiếng),Trung bình,Nhóm trưởng,4,4,0,3,4,1,0,3,1,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Ban tổ chức,3,1,0,4,2,2,4,1,0,1
Chưa từng tham gia,Nhiều(12->40 tiếng),Rất hài lòng,Thành viên,1,2,4,1,1,3,3,3,1,1
Tham gia trung bình (3-5 hoạt động),Rất ít( dưới 4 tiếng),Trung bình,Ban tổ chức,0,3,4,4,0,3,1,3,1,1
Tham gia trung bình (3-5 hoạt động),Ít(4 tiếng ->12 tiếng),Trung bình,Thành viên,2,4,1,1,3,2,0,0,0,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,3,1,4,4,0,0,2,3,0,1
Chưa từng tham gia,Rất nhiều(trên 40 tiếng),Rất hài lòng,Thành viên,1,2,1,0,1,2,1,4,1,0
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Không hài lòng,Ban tổ chức,4,1,3,0,4,4,2,4,1,1
Tham gia ít (1-2 hoạt động),Rất ít( dưới 4 tiếng),Rất hài lòng,Nhóm trưởng,0,3,0,0,4,3,3,0,1,1
